item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-opus-5.verbalised::status,anthropic:claude-opus-5.verbalised::level,anthropic:claude-opus-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:gemma4-31b-mtplx.verbalised::status,local:gemma4-31b-mtplx.verbalised::level,local:gemma4-31b-mtplx.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
bank:0,L2,ok,3,"[0.01, 0.02, 0.05, 0.92, 0.0]",ok,3,"[0.01, 0.04, 0.1, 0.75, 0.1]",ok,3,"[0.0, 0.0, 0.0, 1.0, 0.0]",ok,3,"[0.0, 0.02, 0.13, 0.75, 0.1]",error,,,ok,3,"[0.0, 0.0, 0.0, 0.95, 0.05]",ok,3,"[0.0, 0.0, 0.0, 0.95, 0.05]",ok,3,"[0.0, 0.0, 0.0, 1.0, 0.0]",ok,3,"[0.0, 0.0, 0.05, 0.93, 0.02]",ok,3,"[0.0, 0.0, 0.02, 0.95, 0.03]",ok,3,"[0.0, 0.0, 0.0, 1.0, 0.0]"
bank:1,L2,ok,3,"[0.01, 0.02, 0.05, 0.92, 0.0]",ok,3,"[0.01, 0.04, 0.12, 0.75, 0.08]",ok,3,"[0.0, 0.0, 0.05, 0.9, 0.05]",ok,3,"[0.0, 0.03, 0.12, 0.75, 0.1]",error,,,ok,3,"[0.0, 0.0, 0.0, 0.95, 0.05]",ok,3,"[0.0, 0.0, 0.0, 0.95, 0.05]",ok,3,"[0.0, 0.05, 0.1, 0.8, 0.05]",ok,3,"[0.0, 0.01, 0.08, 0.9, 0.01]",ok,3,"[0.01, 0.02, 0.12, 0.8, 0.05]",ok,3,"[0.0, 0.0, 0.06, 0.94, 0.0]"
bank:10,L3,ok,1,"[0.15, 0.75, 0.08, 0.02, 0.0]",ok,2,"[0.03, 0.25, 0.65, 0.05, 0.02]",ok,1,"[0.05, 0.75, 0.15, 0.03, 0.02]",ok,1,"[0.05, 0.65, 0.25, 0.04, 0.01]",error,,,ok,2,"[0.05, 0.15, 0.75, 0.03, 0.02]",ok,2,"[0.05, 0.15, 0.7, 0.08, 0.02]",ok,2,"[0.05, 0.2, 0.7, 0.05, 0.0]",ok,2,"[0.02, 0.18, 0.76, 0.03, 0.01]",ok,1,"[0.05, 0.62, 0.3, 0.02, 0.01]",ok,2,"[0.01, 0.27, 0.72, 0.0, 0.0]"
bank:11,L3,ok,1,"[0.05, 0.85, 0.08, 0.02, 0.0]",ok,2,"[0.03, 0.32, 0.5, 0.13, 0.02]",ok,1,"[0.05, 0.75, 0.15, 0.04, 0.01]",ok,2,"[0.05, 0.2, 0.55, 0.15, 0.05]",error,,,ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.05, 0.85, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.8, 0.1, 0.04, 0.01]",ok,2,"[0.08, 0.18, 0.62, 0.1, 0.02]",ok,2,"[0.03, 0.35, 0.55, 0.06, 0.01]",ok,1,"[0.0, 0.91, 0.09, 0.0, 0.0]"
bank:12,L3,ok,2,"[0.05, 0.15, 0.75, 0.04, 0.01]",ok,2,"[0.01, 0.08, 0.82, 0.08, 0.01]",ok,2,"[0.0, 0.05, 0.85, 0.1, 0.0]",ok,2,"[0.03, 0.1, 0.72, 0.13, 0.02]",error,,,ok,2,"[0.05, 0.15, 0.75, 0.04, 0.01]",ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",ok,2,"[0.0, 0.05, 0.9, 0.05, 0.0]",ok,2,"[0.01, 0.05, 0.9, 0.03, 0.01]",ok,2,"[0.01, 0.04, 0.9, 0.04, 0.01]",ok,2,"[0.0, 0.01, 0.88, 0.11, 0.0]"
bank:13,L3,ok,2,"[0.05, 0.15, 0.7, 0.08, 0.02]",ok,2,"[0.02, 0.16, 0.5, 0.3, 0.02]",ok,2,"[0.0, 0.05, 0.75, 0.15, 0.05]",ok,2,"[0.03, 0.15, 0.55, 0.22, 0.05]",error,,,ok,2,"[0.05, 0.15, 0.75, 0.04, 0.01]",ok,2,"[0.0, 0.1, 0.8, 0.1, 0.0]",ok,2,"[0.05, 0.15, 0.7, 0.1, 0.0]",ok,2,"[0.02, 0.08, 0.84, 0.05, 0.01]",ok,3,"[0.02, 0.08, 0.25, 0.6, 0.05]",ok,2,"[0.0, 0.09, 0.72, 0.19, 0.0]"
bank:14,L3,ok,3,"[0.02, 0.08, 0.15, 0.7, 0.05]",ok,3,"[0.02, 0.13, 0.2, 0.6, 0.05]",ok,3,"[0.0, 0.0, 0.05, 0.85, 0.1]",ok,3,"[0.02, 0.05, 0.13, 0.6, 0.2]",error,,,ok,3,"[0.05, 0.15, 0.25, 0.45, 0.1]",ok,3,"[0.0, 0.0, 0.0, 0.9, 0.1]",ok,3,"[0.01, 0.04, 0.15, 0.75, 0.05]",ok,3,"[0.01, 0.04, 0.15, 0.75, 0.05]",ok,3,"[0.01, 0.07, 0.34, 0.56, 0.02]",ok,3,"[0.0, 0.14, 0.31, 0.55, 0.0]"
bank:15,L3,ok,2,"[0.05, 0.15, 0.7, 0.08, 0.02]",ok,2,"[0.03, 0.3, 0.55, 0.1, 0.02]",ok,1,"[0.05, 0.75, 0.15, 0.04, 0.01]",ok,2,"[0.03, 0.15, 0.55, 0.22, 0.05]",error,,,ok,2,"[0.05, 0.15, 0.75, 0.04, 0.01]",ok,1,"[0.05, 0.85, 0.08, 0.02, 0.0]",ok,1,"[0.05, 0.8, 0.1, 0.04, 0.01]",ok,1,"[0.14, 0.72, 0.12, 0.01, 0.01]",ok,1,"[0.08, 0.72, 0.18, 0.02, 0.0]",ok,1,"[0.0, 0.7, 0.3, 0.0, 0.0]"
bank:16,L3,ok,2,"[0.02, 0.08, 0.85, 0.04, 0.01]",ok,2,"[0.01, 0.05, 0.79, 0.06, 0.09]",ok,2,"[0.0, 0.0, 0.95, 0.05, 0.0]",ok,2,"[0.02, 0.08, 0.75, 0.12, 0.03]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.05, 0.05]",ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",ok,2,"[0.0, 0.0, 0.98, 0.02, 0.0]",ok,2,"[0.02, 0.05, 0.9, 0.02, 0.01]",ok,2,"[0.01, 0.04, 0.9, 0.04, 0.01]",ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
bank:17,L3,ok,2,"[0.02, 0.08, 0.85, 0.04, 0.01]",ok,2,"[0.01, 0.06, 0.78, 0.09, 0.06]",ok,2,"[0.0, 0.0, 0.95, 0.05, 0.0]",ok,2,"[0.02, 0.1, 0.65, 0.18, 0.05]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.05, 0.05]",ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]",ok,2,"[0.01, 0.05, 0.92, 0.01, 0.01]",ok,2,"[0.02, 0.05, 0.88, 0.03, 0.02]",ok,2,"[0.01, 0.0, 0.98, 0.0, 0.01]"
bank:18,L3,ok,2,"[0.02, 0.08, 0.85, 0.04, 0.01]",ok,2,"[0.01, 0.04, 0.88, 0.04, 0.03]",ok,2,"[0.0, 0.0, 0.95, 0.05, 0.0]",ok,2,"[0.02, 0.08, 0.8, 0.08, 0.02]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.05, 0.05]",ok,2,"[0.0, 0.0, 0.95, 0.05, 0.0]",ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]",ok,2,"[0.01, 0.05, 0.9, 0.02, 0.02]",ok,2,"[0.01, 0.04, 0.9, 0.03, 0.02]",ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
